language_group,target,status,phenotype,detector,view,propositions
dutch,MCL,negative,abnormality_absent,v3_target,strict,1
latin_other,Baker's,negative,baker_cyst_absent,v3_morphology,strict,1
latin_other,ACL,positive,degeneration,v3_target,strict,1
latin_other,ACL,positive,avulsion,v2_exact,strict,1
greek_script,Lateral Meniscus,positive,extrusion,v2_exact,strict,1
greek_script,Effusion,positive,joint_effusion,v3_morphology,linked,1
greek_script,Effusion,positive,degeneration,v2_exact,strict,1
greek_script,PF OA,positive,tear,v2_collective,strict,1
greek_script,PF OA,positive,chondral_abnormality,v3_target,linked,1
greek_script,PF OA,positive,chondral_abnormality,v2_collective,strict,1
french,Baker's,uncertain,abnormality,v2_exact,strict,1
french,ACL,uncertain,abnormality,v3_target,strict,1
french,ACL,uncertain,abnormality,v2_exact,strict,1
german,MCL,negative,normal_structure,v3_target,linked,1
german,Lateral OA,positive,abnormality,v2_exact,strict,1
german,Lateral Meniscus,uncertain,abnormality,v3_target,strict,1
german,Lateral Meniscus,uncertain,abnormality,v2_exact,strict,1
greek_script,PF OA,positive,abnormality,v2_collective,strict,1
greek_script,PF OA,negative,abnormality_absent,v2_exact,strict,1
greek_script,Medial OA,positive,chondral_abnormality,v2_collective,strict,1
greek_script,Medial OA,positive,abnormality,v2_collective,strict,1
english,Lateral OA,uncertain,chondral_abnormality,v3_target,strict,1
greek_script,MCL,negative,abnormality_absent,v2_exact,strict,1
english,MCL,uncertain,degeneration,v2_exact,strict,1
english,MCL,uncertain,avulsion,v3_target,strict,1
english,MCL,uncertain,avulsion,v2_exact,strict,1
dutch,ACL,uncertain,abnormality,v3_target,strict,1
turkish,ACL,uncertain,tear,v3_target,strict,1
turkish,ACL,uncertain,degeneration,v3_target,strict,1
turkish,ACL,positive,abnormality,v2_exact,strict,1
dutch,Lateral Meniscus,uncertain,abnormality,v2_exact,strict,1
dutch,Lateral Meniscus,positive,tear,v3_target,strict,1
dutch,Lateral Meniscus,positive,tear,v2_exact,strict,1
dutch,Fracture,uncertain,chondral_abnormality,v2_exact,strict,1
french,Contusion,positive,degeneration,v2_exact,strict,1
french,Contusion,negative,abnormality_absent,v2_exact,strict,1
turkish,Medial Meniscus,uncertain,abnormality,v3_target,strict,1
turkish,Medial Meniscus,uncertain,abnormality,v2_exact,strict,1
turkish,Medial Meniscus,positive,tear,v2_collective,strict,1
turkish,Effusion,positive,tear,v3_morphology,strict,1
turkish,Effusion,positive,degeneration,v2_exact,strict,1
turkish,Contusion,positive,chondral_abnormality,v2_exact,strict,1
dutch,Effusion,uncertain,chondral_abnormality,v2_exact,strict,1
dutch,Contusion,positive,chondral_abnormality,v2_exact,strict,1
dutch,Baker's,positive,chondral_abnormality,v2_exact,strict,1
dutch,Baker's,negative,baker_cyst_absent,v3_morphology,strict,1
dutch,Baker's,negative,baker_cyst_absent,v3_morphology,linked,1
english,Lateral OA,uncertain,chondral_abnormality,v2_exact,strict,1
english,Lateral OA,positive,tear,v3_target,strict,1
english,Lateral OA,positive,tear,v2_exact,strict,1
english,Lateral OA,positive,tear,v2_collective,strict,1
greek_script,Medial OA,negative,chondral_abnormality_absent,v3_target,strict,1
greek_script,Medial OA,negative,abnormality_absent,v2_exact,strict,1
greek_script,Medial Meniscus,positive,abnormality,v3_target,strict,1
cyrillic_script,Medial OA,negative,normal_cartilage,v3_target,strict,1
cyrillic_script,Medial OA,negative,abnormality_absent,v2_exact,strict,1
french,Fracture,uncertain,fracture,v3_morphology,strict,1
french,Fracture,uncertain,fracture,v2_exact,strict,1
cyrillic_script,Lateral Meniscus,positive,degeneration,v2_exact,strict,1
cyrillic_script,Lateral Meniscus,positive,chondral_abnormality,v2_exact,strict,1
cyrillic_script,Lateral Meniscus,negative,abnormality_absent,v3_target,strict,1
turkish,MCL,positive,fracture,v2_exact,strict,1
turkish,MCL,positive,degeneration,v3_target,strict,1
turkish,MCL,positive,degeneration,v2_exact,strict,1
turkish,MCL,negative,abnormality_absent,v3_target,strict,1
turkish,Lateral OA,positive,tear,v2_exact,strict,1
turkish,Lateral Meniscus,uncertain,tear,v2_exact,strict,1
turkish,Lateral Meniscus,positive,sprain,v2_exact,strict,1
